"artist.familiarity","artist.hotttnesss","artist.latitude","artist.location","artist.longitude","artist.name","artist.similar","artist.terms","release.name","song.artist_mbtags","song.artist_mbtags_count","song.bars_confidence","song.bars_start","song.beats_confidence","song.beats_start","song.duration","song.end_of_fade_in","song.hotttnesss","song.key","song.key_confidence","song.loudness","song.mode","song.mode_confidence","song.start_of_fade_out","song.tatums_confidence","song.tatums_start","song.tempo","song.time_signature","song.time_signature_confidence","song.title","song.year"
0.581793766,0.401997543,0,0,0,"Casual",0,"hip hop",0,0,0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.60211999,1,0.736,-11.197,0,0.636,218.932,0.779,0.28519,92.198,4,0.778,0,0
0.630382334,0.454231157,0,0,0,"Adam Ant",0,"pop rock",0,0,1,0.017,1.30621,0.809,0.81002,233.40363,0,-1,0,0.751,-9.013,1,0.749,217.124,0.601,0.56254,119.293,4,0,0,1982
0.556495602,0.261941177,0,0,0,"Rated R",0,"breakbeat",0,0,0,0.709,0.27253,0.709,0.27253,114.78159,0.096,-1,1,0,-17.302,1,0,114.782,0.467,0.05611,111.787,1,0,0,0
0.801136447,0.605507136,0,0,0,"Tweeterfriendly Music",0,"post-hardcore",0,0,0,0.142,0.65428,0.234,0.65428,189.57016,0.319,-1,4,0,-11.642,0,0.16,181.023,0.292,0.36129,101.43,3,0.408,0,0
0.550513698,0.422705641,0,0,0,"Clp",0,"breakcore",0,0,0,0.047,0.62445,1,0.09933,266.39628,0.084,-1,7,0.053,-6.697,0,0.473,261.747,1,0.09933,114.041,4,0.878,0,0
0.360031167,0.296268954,35.21962,0,-80.01955,"JennyAnyKind",0,"alternative rock",0,0,0,0.873,0.11194,0.873,0.11194,218.77506,2.125,0,5,0.354,-10.021,0,0.485,207.012,0.229,0.11194,146.765,1,0,0,0
0.545159296,0.351555861,0,0,0,"Wayne Watson",0,"ccm",0,0,0,0.018,1.45439,1,0.42896,245.21098,0.357,0.265861049,7,0.07,-7.545,1,0.686,227.48,0.728,0.1727,117.975,4,0.835,0,0
0.577508974,0.37948217,0,0,0,"Andy Andy",0,"bachata",0,0,0,0.013,1.2229,0.699,0.29639,226.35057,0,0,9,0.205,-6.632,1,0.305,221.553,1,0.06508,130.04,4,0,0,0
0.085512047,0.251936525,0,0,0,"Bob Azzam",0,"chanson",0,0,0,1,0.46223,1,0.46223,191.84281,0.38,0,10,0,-7.75,0,0.198,188.424,0.774,0.23506,137.334,1,0.319,0,0
0.419943148,0.330806357,37.16793,0,-95.84502,"Richard Souther",0,"chill-out",0,0,0,0.125,1.19076,0.768,0.24795,228.5971,0.223,0.334706549,8,0.041,-16.11,1,0.516,217.426,0.767,0.08584,127.756,5,0.579,0,0
0.363280571,0.306676094,0,0,0,"Faiz Ali Faiz",0,"qawwali",0,0,0,0.443,0.90668,0,0.27615,599.24853,1.193,-1,6,0.06,-8.032,1,0.346,591.999,0.48,0.12168,99.273,4,0.158,0,0
0.32031437,0,0,0,0,"lextrical",0,"indietronica",0,0,0,0.026,0.66829,0.821,0.22335,165.69424,0.162,0,7,0.011,-6.787,1,0.568,157.391,0.682,0.22335,138.331,4,0.127,0,0
0.489816269,0.328553015,38.8991,0,-77.029,"Alice Stuart",0,"electric blues",0,0,0,0.899,0.46253,0.899,0.46253,220.78649,0.206,0,11,0.809,-8.514,1,0.521,207.656,0.841,0.16228,110.382,1,0.192,0,0
0.677420465,0.378254686,49.80388,0,15.47491,"Elena",0,"uk garage",0,0,0,0.552,1.06937,0,0.51434,269.58322,0,0.313562114,2,0.596,-8.05,1,0.666,256.168,0.978,0.51434,111.874,4,1,0,0
0.435415818,0.306242264,37.83721,0,-94.35868,"SUE THOMPSON",0,"pop rock",0,0,0,0.006,0.70311,0.587,0.26706,124.86485,0,0.495293621,10,0.697,-12.332,1,0.541,115.74,1,0.04025,137.522,4,0,0,1985
0.6090637,0.363651365,0,0,0,"Five Bolt Main",0,"post-grunge",0,0,0,0.857,0.08901,0.857,0.08901,225.09669,0,0.375984302,7,0.53,-5.908,1,0.512,225.097,0.24,0.08901,164.672,1,0,0,0
0.396455254,0.299230368,40.73197,0,-74.17418,"Faye Adams",0,"jump blues",0,0,0,0.096,0.97531,0.987,0.3393,156.39465,0.562,0,8,0.569,-18.051,1,0.495,150.634,0.67,0.3393,95.957,3,0.689,0,1961
0.640807102,0.418216518,40.7038,0,-73.83168,"The Shangri-Las",0,"doo-wop",0,0,0,0.812,0.10131,0.812,0.10131,164.80608,0,0.443291312,10,0.254,-10.922,1,0.042,156.177,0.879,0.10131,130.1,1,0,0,1964
0.523714637,0.384611084,30.08615,0,-94.10158,"Billie Jo Spears",0,"classic country",0,0,0,0,0.24118,0,0.24118,133.32853,0,0,4,0.384,-9.983,1,0.402,130.009,0.515,0.04851,160.839,1,0,0,1992
0.79360508,0.426317956,0,0,0,"Mike Jones (Featuring CJ_ Mello & Lil' Bran)",0,"rap",0,0,0,0.616,0.40866,0.616,0.40866,173.66159,0,-1,7,0.299,-7.762,1,0.464,164.908,0.536,0.05133,41.993,1,0,0,0
0.597541218,0.382651971,0,0,0,"Javier Navarrete",0,"orchestra",0,0,0,0.359,0.77461,0.773,0.77461,128.83546,0,0.394394856,3,0,-17.699,1,0.251,121.423,0.302,0.77461,90.932,3,1,0,0
0.495445922,0.294861262,0,0,0,"Jacob Young",0,"cool jazz",0,0,1,0.238,0.92047,0.908,0.23284,456.30649,0.241,0,1,0.611,-19.478,1,0.546,451.315,0,0.06094,89.667,4,0.747,0,0
0.814829656,0.735765693,51.50632,0,-0.12714,"The Rolling Stones",0,"blues",0,0,4,0.797,0.15016,0.797,0.15016,271.49016,0.171,0.83449262,9,0.301,-10.358,0,0.392,263.784,0.018,0.15016,139.333,1,0,0,0
0.482356043,0.350078579,0,0,0,"Roberto Torres",0,"salsa",0,0,0,0.016,0.86592,0.917,0.34973,226.66404,0.311,0,0,0.863,-12.716,1,0.671,219.51,0.646,0.34973,117.271,4,0.453,0,0
0.701180874,0.466628889,34.36401,0,-89.51877,"R.L. Burnside",0,"delta blues",0,0,1,0.002,0.93659,0.885,0.275,277.78567,0.24,0.482137585,2,0,-6.944,1,0,267.453,0.963,0.275,89.984,4,0,0,2004
0.73379894,0.544257506,32.77815,0,-96.7954,"Stevie Ray Vaughan",0,"texas blues",0,0,1,0.008,0.74277,1,0.2077,248.78975,0.183,-1,1,0.754,-7.805,1,0.597,246.19,0.867,0.2077,116.721,4,0.522,0,1992
0.665322162,0.394217199,0,0,0,"Casiotone For The Painfully Alone",0,"trip hop",0,0,1,0.002,0.74575,0.706,0.32409,175.72526,0.734,0.785892288,0,0.522,-10.93,1,0.474,168.699,1,0.11431,141.919,4,0.445,0,2006
0.50407567,0.33457736,52.51607,0,13.37698,"Ec8or",0,"hardcore techno",0,0,0,0.024,0.47086,0,0.47086,217.23383,1.042,-1,10,0.005,-9.493,0,0.305,213.496,0.283,0.15342,95.596,4,1,0,1995
0.717670525,0.479308459,0,0,0,"The New York Dolls",0,"glam rock",0,0,1,0.877,0.12284,0.877,0.12284,344.05832,0.068,0.561692411,11,0.425,-9.253,1,0.486,335.029,0.56,0.12284,154.953,1,0,0,1974
0.669726188,0.427914247,-23.56287,0,-46.65466,"Eliane Elias",0,"brazilian jazz",0,0,1,0.068,2.90946,0.675,0.14772,251.42812,0.071,0.43483809,7,0.391,-12.009,1,0.319,237.598,0.228,0.14772,86.091,5,0.551,0,2009
0.397772876,0.383475745,0,0,0,"Yamandu Costa",0,"brazilian jazz",0,0,0,0.599,0.31943,0.462,0.02559,190.04036,0,-1,2,0.105,-14.179,1,0.433,176.924,0.626,0.02559,205.317,4,0,0,0
0.643182773,0.500691341,0,0,0,"Chris Rea",0,"soft rock",0,0,1,0.386,0.42366,0,0.0889,241.162,0.549,0.767727748,9,0.222,-8.531,1,0.403,230.342,0.587,0.0889,180.149,4,0,0,1986
0.54858513,0.383524247,54.48303,0,-3.53444,"Francis Dunnery",0,"singer-songwriter",0,0,0,0.008,1.1612,0.379,0.67535,300.79955,0,0.610474258,7,0.666,-13.33,1,0.658,298.347,0.249,0.42142,124.175,4,0.698,0,1995
0.653937821,0.396855869,0,0,0,"Vickie Winans",0,"ccm",0,0,0,0.572,1.06091,0.601,0.50472,228.93669,0.338,-1,11,0.172,-8.686,0,0.369,219.574,0.275,0.22871,107.961,4,1,0,0
0.407455644,0.30004649,0,0,0,"Edith Lefel",0,"zouk",0,0,0,0.018,1.1958,0.611,0.01968,276.50567,0.299,0,0,0.29,-4.638,1,0.389,261.956,0.656,0.01968,101.972,4,1,0,0
0.460171324,0.189314878,0,0,0,"Taras",0,"trance",0,0,0,0.084,0.89225,0.907,0.41788,200.25424,0,-1,11,0.056,-5.884,0,0.283,194.844,0.582,0.1801,127.97,4,0,0,0
0.778816717,0.554291489,0,0,0,"NOFX",0,"punk",0,0,3,0.081,0.76754,0.644,0.29609,144.50893,0.237,0.671236027,4,0.093,-7.787,0,0.423,140.057,0.829,0.0586,152.622,4,0.358,0,1992
0.711165787,0.466826993,0,0,0,"Soda Stereo",0,"rock",0,0,1,0.393,1.74155,0.872,0.67947,246.69995,0.322,0.62616576,7,0.161,-9.603,1,0.205,224.049,0.399,0.42263,112.903,4,1,0,1990
0.617870116,0.36366811,18.11526,0,-77.27348,"Heavy D / McGruff",0,"pop rap",0,0,0,0.036,0.98426,0.883,0.36334,161.38404,0.165,0.237733942,5,0.665,-9.161,0,0.606,161.384,0.262,0.05327,96.979,4,0.895,0,1997
0.744641246,0.579988982,0,0,0,"Van Halen",0,"heavy metal",0,0,1,0.812,0.34761,0.812,0.34761,209.29261,0,0.82448213,8,0.455,-4.865,1,0.48,206.623,0.775,0.14268,140.995,1,0.41,0,0
0.845601887,1.005941966,0,0,0,"Black Eyed Peas",0,"hip hop",0,0,1,0.933,1.1904,0.692,0.63902,229.61587,0,0.624425493,11,0.205,-4.882,0,0.332,213.664,0.41,0.36332,105.206,4,1,0,2004
0.905776889,0.598458501,41.50471,0,-81.69074,"Nine Inch Nails",0,"industrial metal",0,0,7,0.018,1.76242,1,0.80838,426.89261,0.286,0.635536649,0,0.05,-12.951,0,0.395,399.9,1,0.33137,63.017,4,0.378,0,2000
0.408389022,0.139247394,0,0,0,"Nadine Renee",0,"freestyle",0,0,0,0.319,0.50432,0,0.14912,249.41669,0.647,0.198785349,2,0.883,-6.693,1,0.728,238.434,0.662,0.14912,167.92,4,0.75,0,0
0.606925359,0.389100776,40.71455,0,-74.00712,"Lesley Gore",0,"brill building pop",0,0,1,1,0.06727,1,0.06727,136.48934,0.229,-1,9,0.386,-9.091,1,0.632,130.026,0.782,0.06727,129.122,1,0,0,1963
0.562463784,0.322485106,0,0,0,"Smartbomb",0,"melodic hardcore",0,0,0,0.009,0.64544,1,0.19348,233.27302,0.386,0,0,0.53,-2.658,1,0.501,231.178,0.89,0.19348,132.022,4,0.782,0,2001
0.481004583,0.335651839,0,0,0,"Suburbs",0,"british pop",0,0,0,0.87,0.302,0.87,0.302,187.24526,0.107,0.249065795,1,0.842,-4.42,1,0.721,178.625,0.598,0.13943,183.92,1,0.063,0,2005
0.67159627,0.481024239,34.03142,0,-93.50243,"Glen Campbell",0,"country rock",0,0,1,0.153,0.09896,1,0.09896,142.75873,0.218,-1,1,0.62,-11.335,0,0.814,135.546,0.614,0.09896,137.29,4,0,0,0
0.449323615,0.343281882,35.82213,0,-88.91599,"T.G. Sheppard",0,"country rock",0,0,0,0.635,0.52519,0.635,0.52519,194.11546,0.089,0.382723281,5,1,-15.581,1,0.886,182.729,0.479,0.15887,82.343,1,0.387,0,2002
0.51644378,0.386669092,27.94653,0,-82.45927,"Slim Whitman",0,"folk-pop",0,0,0,0.52,1.87142,0.431,0.61665,195.91791,0.165,-1,3,0.883,-11.98,1,0.735,192.087,0.444,0.20411,91.487,4,0,0,1990
0.728209707,0.538070295,0,0,0,"Savage Garden",0,"easy listening",0,0,3,0.083,3.56292,0.489,0.22888,118.33424,0,-1,9,0,-11.215,0,0,118.334,0.105,0.22888,84.69,5,0.678,0,1999
0.798645179,0.552413346,0,0,0,"Queens Of The Stone Age",0,"stoner metal",0,0,3,0.002,0.68393,1,0.15338,288.41751,0.113,0.725121284,2,0.08,-8.165,1,0.665,279.179,1,0.15338,115.606,4,0,0,2005
0.445854631,0.347598889,33.52029,0,-86.8115,"Hank Penny & The Lincoln Penny Orchestra",0,"western swing",0,0,0,0,0.14694,0,0.14694,123.21914,1.001,-1,7,0.278,-12.69,0,0.482,118.079,0.599,0.14694,126.523,1,0,0,0
0.605109702,0.398547535,53.4796,0,-2.24881,"Inspiral Carpets",0,"indie rock",0,0,2,0.02,0.72006,0.779,0.18905,283.76771,0,0.665172241,2,0.823,-8.7,1,0.69,271.83,1,0.18905,113.677,4,1,0,1990
0.454043995,0.421415103,0,0,0,"Borialis",0,"rap rock",0,0,0,0.069,1.76995,0.725,0.38749,239.3073,0.182,0.554654768,2,0.569,-5.758,1,0.601,220.264,0.542,0.04274,86.938,4,0.222,0,0
0.543516131,0.404182207,0,0,0,"The Dirty Skirts",0,"indie rock",0,0,1,0.07,0.55647,1,0.13404,206.75873,0.096,0.304169503,0,0.613,-4.907,1,0.656,193.115,0.843,0.13404,141.936,4,0.634,0,0
0.13818761,0.31781096,0,0,0,"Solistiyhtye Suomi",0,"german pop",0,0,1,0,0.14324,0,0.14324,134.08608,4.441,-1,4,0.718,-12.839,0,0.674,130.38,0,0.14324,133.699,1,0,0,0
